,Unnamed: 0,PLAYER NAME,TEAM,POS,BYE WEEK,POINTS,POSITIONAL TIER
312,321,Tyler Loop,BAL,K,7,149.6,3
313,323,Will Reichard,MIN,K,6,137.9,7
314,324,Troy Franklin,DEN,WR,12,77.0,8
315,325,Samaje Perine,CIN,RB,10,72.5,7
316,326,Dawson Knox,BUF,TE,7,72.8,6
317,327,Savion Williams,GB,WR,5,34.0,9
318,329,New York Giants,NYG,DST,14,110.1,5
319,330,Michael Mayer,LV,TE,8,83.0,6
320,332,Kirk Cousins,ATL,QB,5,25.7,5
321,333,Atlanta Falcons,ATL,DST,5,107.7,7
322,334,Jake Moody,SF,K,14,143.4,6
323,335,Luke Musgrave,GB,TE,5,40.5,7
324,336,Marquez Valdes-Scantling,SEA,WR,8,88.9,7
325,337,Will Levis,TEN,QB,10,24.7,5
326,338,Cam Little,JAC,K,8,145.3,5
327,339,Brandon McManus,GB,K,5,150.7,3
328,341,KaVontae Turpin,DAL,WR,10,89.5,7
329,343,Noah Brown,WAS,WR,12,112.3,6
330,344,Allen Lazard,NYJ,WR,9,48.2,9
331,345,Gunnar Helm,TEN,TE,10,32.8,8
332,346,Curtis Samuel,BUF,WR,7,55.1,8
333,347,Austin Hooper,NE,TE,14,81.0,6
334,348,Jameis Winston,NYG,QB,14,31.0,5
335,349,Washington Commanders,WAS,DST,12,105.4,9
336,350,Luke Schoonmaker,DAL,TE,10,47.3,7
337,351,Mason Rudolph,PIT,QB,5,38.5,5
338,352,Blake Grupe,NO,K,11,138.5,7
339,353,Chimere Dike,TEN,WR,10,58.9,8
340,354,Robert Woods,PIT,WR,5,57.0,8
341,355,Cairo Santos,CHI,K,5,140.4,7
342,357,Graham Gano,NYG,K,14,144.5,5
343,358,Josh Reynolds,NYJ,WR,9,65.9,8
344,359,Kalel Mullings,TEN,RB,10,10.9,10
345,360,Jaylin Lane,WAS,WR,12,44.1,9
346,361,Greg Dortch,ARI,WR,8,54.4,8
347,362,Tommy Tremble,CAR,TE,14,50.0,7
348,363,Indianapolis Colts,IND,DST,11,108.9,6
349,364,Aidan O'Connell,LV,QB,8,30.5,5
350,365,Van Jefferson,TEN,WR,10,69.6,8
351,367,Jeremy Ruckert,NYJ,TE,9,21.2,8
352,368,Kendrick Bourne,NE,WR,14,89.4,7
353,370,Foster Moreau,NO,TE,11,71.5,6
354,371,Arian Smith,NYJ,WR,9,79.9,7
