,Unnamed: 0,PLAYER NAME,TEAM,POS,BYE WEEK,POINTS,POSITIONAL TIER
281,286,Alexander Mattison,MIA,RB,12,78.7,7
282,287,Brashard Smith,KC,RB,10,7.2,10
283,288,Isaiah Davis,NYJ,RB,9,56.6,8
284,289,Joe Flacco,CLE,QB,9,112.0,4
285,290,Chicago Bears,CHI,DST,5,107.3,8
286,291,Terrance Ferguson,LAR,TE,8,58.6,7
287,292,Will Dissly,LAC,TE,12,85.4,6
288,293,Luke McCaffrey,WAS,WR,12,28.2,10
289,294,Shedeur Sanders,CLE,QB,9,14.5,5
290,295,Jordan James,SF,RB,14,27.5,9
291,296,Daniel Carlson,LV,K,8,145.1,5
292,297,Miami Dolphins,MIA,DST,12,110.0,5
293,298,Damien Martinez,SEA,RB,8,7.1,10
294,299,Tory Horton,SEA,WR,8,39.6,9
295,300,Ty Chandler,MIN,RB,6,15.3,10
296,302,Jason Myers,SEA,K,8,146.6,4
297,303,Ben Sinnott,WAS,TE,12,49.2,7
298,304,Oronde Gadsden,LAC,TE,12,26.6,8
299,305,Tyler Higbee,LAR,TE,8,99.9,5
300,307,Emanuel Wilson,GB,RB,5,60.1,8
301,308,John Metchie,HOU,WR,6,37.7,9
302,309,Jermaine Burton,CIN,WR,10,52.6,9
303,310,Tyler Conklin,LAC,TE,12,106.9,5
304,311,Tyler Conklin,LAC,TE,12,106.9,5
305,312,Isaac TeSlaa,DET,WR,8,41.5,9
306,313,Tai Felton,MIN,WR,6,3.8,10
307,315,Ray-Ray McCloud,ATL,WR,5,150.6,5
308,316,Jalen Milroe,SEA,QB,8,32.2,5
309,317,Tutu Atwell,LAR,WR,8,122.4,6
310,318,Jordan Whittington,LAR,WR,8,72.1,8
311,320,Arizona Cardinals,ARI,DST,8,108.2,7
312,321,Tyler Loop,BAL,K,7,149.6,3
313,323,Will Reichard,MIN,K,6,137.9,7
314,324,Troy Franklin,DEN,WR,12,77.0,8
315,325,Samaje Perine,CIN,RB,10,72.5,7
316,326,Dawson Knox,BUF,TE,7,72.8,6
317,327,Savion Williams,GB,WR,5,34.0,9
